iter	Passed	Remaining
0	1	129
1	2	124
2	3	115
3	4	105
4	5	102
5	6	101
6	7	98
7	8	97
8	9	96
9	10	94
10	11	93
11	12	91
12	13	90
13	14	90
14	15	89
15	16	87
16	17	86
17	18	85
18	19	84
19	20	83
20	21	82
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	30	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	64
37	39	63
38	40	62
39	41	61
40	42	61
41	42	59
42	43	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
