iter	Passed	Remaining
0	149	149282
1	150	75106
2	151	50286
3	152	37894
4	153	30467
5	153	25492
6	154	21924
7	155	19239
8	155	17148
9	156	15477
10	157	14116
11	157	12976
12	158	12009
13	158	11181
14	159	10463
15	159	9838
16	160	9290
17	161	8800
18	161	8358
19	162	7966
20	163	7613
21	164	7290
22	164	6996
23	165	6725
24	166	6476
25	166	6242
26	167	6025
27	167	5824
28	168	5643
29	169	5474
30	170	5315
31	170	5163
32	171	5018
33	171	4882
34	172	4753
35	172	4632
36	174	4529
37	175	4434
38	175	4334
39	176	4236
40	177	4142
41	177	4054
42	178	3969
43	178	3888
44	179	3809
45	180	3737
46	181	3670
47	181	3601
48	182	3536
49	182	3473
50	183	3412
51	183	3353
52	184	3296
53	185	3242
54	185	3189
55	186	3141
56	187	3094
57	187	3047
58	188	3002
59	188	2958
60	189	2915
61	190	2874
62	190	2834
63	191	2796
64	191	2758
65	192	2723
66	193	2700
67	194	2667
68	195	2635
69	195	2603
70	196	2573
71	197	2546
72	199	2529
73	200	2503
74	200	2475
75	201	2448
76	202	2422
77	202	2396
78	203	2371
79	204	2348
80	205	2326
81	205	2304
82	206	2279
83	207	2257
84	207	2236
85	208	2214
86	208	2192
87	209	2172
88	210	2158
89	211	2141
90	212	2124
91	213	2104
92	214	2087
93	214	2068
94	215	2049
95	215	2031
96	216	2015
97	217	2000
98	218	1984
99	218	1967
100	219	1951
101	219	1934
102	220	1918
103	220	1903
104	221	1888
105	222	1873
106	222	1859
107	223	1847
108	224	1833
109	224	1819
110	225	1805
111	225	1791
112	226	1778
113	227	1765
114	227	1752
115	228	1740
116	228	1728
117	229	1717
118	230	1706
119	231	1694
120	231	1683
121	232	1671
122	232	1659
123	233	1648
124	233	1637
125	234	1627
126	235	1616
127	235	1606
128	236	1596
129	236	1585
130	237	1575
131	238	1565
132	238	1555
133	239	1546
134	239	1536
135	240	1527
136	241	1519
137	241	1510
138	242	1501
139	242	1492
140	243	1485
141	244	1475
142	244	1467
143	245	1459
144	246	1451
145	246	1443
146	247	1436
147	248	1428
148	248	1421
149	249	1413
150	249	1405
151	250	1397
152	251	1390
153	251	1382
154	252	1375
155	252	1367
156	253	1361
157	254	1354
158	254	1347
159	255	1341
160	255	1333
161	256	1326
162	257	1319
163	257	1313
164	258	1307
165	258	1300
166	259	1294
167	260	1288
168	260	1282
169	261	1276
170	261	1269
171	262	1263
172	263	1257
173	263	1252
174	264	1245
175	264	1240
176	265	1234
177	266	1229
178	266	1224
179	267	1218
180	268	1213
181	268	1207
182	269	1201
183	269	1196
184	270	1190
185	270	1185
186	271	1180
187	272	1175
188	272	1170
189	273	1165
190	274	1161
191	274	1156
192	275	1151
193	275	1146
194	276	1141
195	277	1136
196	277	1131
197	278	1127
198	279	1123
199	279	1118
200	280	1113
201	280	1109
202	281	1104
203	281	1099
204	282	1095
205	283	1090
206	283	1086
207	284	1082
208	284	1078
209	285	1074
210	286	1070
211	286	1065
212	287	1061
213	287	1057
214	288	1053
215	289	1050
216	289	1046
217	290	1042
218	291	1038
219	291	1034
220	292	1030
221	293	1026
222	293	1022
223	294	1018
224	294	1015
225	295	1011
226	295	1007
227	296	1004
228	297	1000
229	297	997
230	298	993
231	299	990
232	299	986
233	300	983
234	300	979
235	301	976
236	302	972
237	302	969
238	303	966
239	304	963
240	304	960
241	305	956
242	306	953
243	306	949
244	307	946
245	307	943
246	308	939
247	309	937
248	309	933
249	310	930
250	310	927
251	311	924
252	311	920
253	312	917
254	313	914
255	313	911
